Russell Okung,"$10,600,000",DEN,LT
Kelvin Beachum,"$9,000,000",JAC,LT
Donald Stephenson,"$4,666,667",DEN,LT
Donald Penn,"$5,950,000",OAK,LT
Ryan Harris,"$1,995,000",PIT,LT
Chris Hairston,"$1,450,000",SD,LT
William Beatty,"$1,100,000",NYG,LT
Bradley Sowell,"$1,000,000",SEA,LT
Khalif Barnes,"$985,000",NO,LT
Sam Young,"$910,000",MIA,LT
Benjamin Ijalana,"$840,000",NYJ,LT
Mike Adams,"$760,000",CHI,LT
Charles Brown,"$760,000",DAL,LT
Nate Chandler,"$675,000",CHI,LT
Nick Becton,"$675,000",CHI,LT
Tony Hills,0,NO,LT
Mitchell Van Dyk,0,IND,LT
D'Brickashaw Ferguson,0,TBD,LT
Eugene Monroe,0,TBD,LT
Jake Long,0,TBD,LT
Nate Chandler,0,TBD,LT
Khalif Barnes,0,TBD,LT
Tyler Polumbus,0,TBD,LT
Isaiah Battle,0,TBD,LT
Tavon Rooks,0,TBD,LT
Mitchell Van Dyk,0,TBD,LT
Edawn Coughman,0,TBD,LT
Jeremy Vujnovich,0,TBD,LT
Willie Smith,0,TBD,LT
Rob Crisp,0,TBD,LT
Erle Ladson,0,TBD,LT
