Earl Thomas,10000000,S
Devin McCourty,9500000,S
Jairus Byrd,9000000,S
Eric Berry,8340717,S
Dashon Goldson,8250000,S
Eric Weddle,8000000,S
Reshad Jones,7003000,S
Kam Chancellor,7000502,S
Donte Whitner,7000000,S
Michael Griffin,7000000,S
Aaron Williams,6501961,S
Morgan Burnett,6187500,S
William Moore,6000000,S
Da'Norris Searcy,5937500,S
Nate Allen,5750000,S
T.J. Ward,5625000,S
Marcus Gilchrist,5500000,S
Antoine Bethea,5250000,S
Malcolm Jenkins,5166667,S
Mike Mitchell,5000000,S
Ron Parker,5000000,S
Glover Quin,4700000,S
Reggie Nelson,4500000,S
Corey Graham,4075000,S
Rahim Moore,4000000,S
Antrel Rolle,3750000,S
Will Hill,3503023,S
Walter Thurmond,3250000,S
Charles Woodson,3200000,S
Patrick Chung,2733333,S
Sean Richardson,2550000,S
Mike Adams,2425000,S
Kenny Vaccaro,2356178,S
Rodney McLeod,2356000,S
Tashaun Gipson,2356000,S
Sergio Brown,2333333,S
Louis Delmas,2250000,S
Barry Church,2206750,S
Calvin Pryor,2140813,S
Darian Stewart,2125000,S
Roman Harper,2125000,S
Eric Reid,2120184,S
Tyvon Branch,2100000,S
HaHa Clinton-Dix,2084625,S
Damarious Randall,1978934,S
Darrell Stuckey,1900000,S
Rafael Bush,1900000,S
Kendrick Lewis,1800000,S
Harrison Smith,1784637,S
Jimmie Ward,1778134,S
Matt Elam,1691751,S
James Ihedigbo,1575000,S
Robert Golden,1542000,S
Larry Asante,1542000,S
Jaiquawn Jarrett,1542000,S
Landon Collins,1530139,S
David Bruton,1500000,S
Isa Abdul-Quddus,1500000,S
Major Wright,1500000,S
Ryan Mundy,1500000,S
Christopher Conte,1500000,S
Kurt Coleman,1400000,S
John Cyprien,1367276,S
Chris Maragos,1350000,S
Jaquiski Tartt,1259254,S
Jeron Johnson,1250000,S
Rashad Johnson,1200000,S
Husain Abdullah,1137500,S
Anthony Levine,1100000,S
Tavon Wilson,1052096,S
Will Allen,1050000,S
Don Carey,1045000,S
Andrew Sendejo,1000000,S
Dwight Lowery,950000,S
Jordan Richards,927887,S
Colin Jones,927500,S
Craig Dahl,870000,S
Charles Godfrey,870000,S
Quintin Demps,870000,S
Brandon Meriweather,870000,S
Danny McCray,825000,S
Colt Anderson,825000,S
Jamarca Sanford,825000,S
Sherrod Martin,745000,S
Taylor Mays,745000,S
Chris Prosinski,745000,S
Shiloh Keo,745000,S
Chris Clemons,737500,S
T.J. McDonald,731570,S
Terrence Brooks,717844,S
Kelcie McCray,717500,S
Winston Guy,710000,S
James Sample,707146,S
Clayton Geathers,703483,S
J.J. Wilcox,702767,S
Ibraheim Campbell,698003,S
Shawn Williams,690236,S
Duron Harmon,677775,S
Maurice Alexander,671065,S
Marqueston Huff,661301,S
